Total time: 2.401930s

p[0].x: -4.227	p[0].y: 7.640	p[0].z: -0.369
p[1242].x: -6.320	p[1242].y: -1.852	p[1242].z: -3.921
p[1242].vx: -87.661	p[1242].vy: -26.770	p[1242].vz: -56.545

p[1243].x: 5.944	p[1243].y: 3.988	p[1243].z: 3.565
p[1243].vx: 84.242	p[1243].vy: 56.750	p[1243].vz: 52.295

p[1244].x: 4.501	p[1244].y: -4.877	p[1244].z: -0.827
p[1244].vx: 65.358	p[1244].vy: -68.856	p[1244].vz: -11.652

p[1245].x: 1.174	p[1245].y: 2.283	p[1245].z: -1.919
p[1245].vx: 17.137	p[1245].vy: 38.761	p[1245].vz: -29.591

p[1246].x: 3.307	p[1246].y: 3.655	p[1246].z: 0.063
p[1246].vx: 47.378	p[1246].vy: 51.279	p[1246].vz: 1.639

p[1247].x: -4.332	p[1247].y: -5.622	p[1247].z: 0.559
p[1247].vx: -61.719	p[1247].vy: -79.758	p[1247].vz: 6.793

p[1248].x: -67.418	p[1248].y: -13.922	p[1248].z: -56.506
p[1248].vx: -835.288	p[1248].vy: -167.259	p[1248].vz: -711.636

p[1249].x: -2.108	p[1249].y: 4.311	p[1249].z: -3.687
p[1249].vx: -31.379	p[1249].vy: 62.026	p[1249].vz: -55.364

p[1250].x: -5.311	p[1250].y: 0.513	p[1250].z: 0.806
p[1250].vx: -74.849	p[1250].vy: 6.052	p[1250].vz: 11.239

p[1251].x: -2.604	p[1251].y: -2.964	p[1251].z: 3.503
p[1251].vx: -37.985	p[1251].vy: -42.213	p[1251].vz: 51.802

p[1252].x: 0.647	p[1252].y: -5.124	p[1252].z: 1.133
p[1252].vx: 8.776	p[1252].vy: -69.083	p[1252].vz: 15.499

p[1253].x: 4.482	p[1253].y: 3.707	p[1253].z: -2.407
p[1253].vx: 62.739	p[1253].vy: 51.930	p[1253].vz: -34.214

p[1254].x: 9.362	p[1254].y: 11.437	p[1254].z: -0.554
p[1254].vx: 133.315	p[1254].vy: 163.653	p[1254].vz: -8.728

p[1255].x: 3.191	p[1255].y: 1.627	p[1255].z: 5.762
p[1255].vx: 47.323	p[1255].vy: 24.973	p[1255].vz: 82.808

p[1256].x: 0.922	p[1256].y: -2.634	p[1256].z: 0.025
p[1256].vx: 19.538	p[1256].vy: -40.710	p[1256].vz: 5.189

p[1257].x: -0.949	p[1257].y: -0.081	p[1257].z: -1.017
p[1257].vx: -10.012	p[1257].vy: 4.029	p[1257].vz: -0.416

p[1258].x: -2.756	p[1258].y: 7.734	p[1258].z: -4.070
p[1258].vx: -38.965	p[1258].vy: 109.434	p[1258].vz: -57.723

p[1259].x: 0.514	p[1259].y: 1.707	p[1259].z: 0.524
p[1259].vx: 13.099	p[1259].vy: 29.345	p[1259].vz: 0.994

p[1260].x: 3.369	p[1260].y: 1.376	p[1260].z: -3.404
p[1260].vx: 44.552	p[1260].vy: 19.762	p[1260].vz: -51.109

p[1261].x: -5.495	p[1261].y: -0.533	p[1261].z: 6.413
p[1261].vx: -77.604	p[1261].vy: -5.158	p[1261].vz: 92.283

p[1262].x: -2.442	p[1262].y: 0.625	p[1262].z: 0.979
p[1262].vx: -29.333	p[1262].vy: 15.585	p[1262].vz: 19.178

p[1263].x: -4.474	p[1263].y: 2.864	p[1263].z: -3.770
p[1263].vx: -64.388	p[1263].vy: 42.087	p[1263].vz: -55.593

p[1264].x: 2.346	p[1264].y: -3.831	p[1264].z: -5.694
p[1264].vx: 35.193	p[1264].vy: -52.922	p[1264].vz: -82.427

p[1265].x: -6.909	p[1265].y: 6.394	p[1265].z: -3.694
p[1265].vx: -97.835	p[1265].vy: 91.089	p[1265].vz: -52.968

p[1266].x: -5.679	p[1266].y: 0.119	p[1266].z: 5.024
p[1266].vx: -82.866	p[1266].vy: 3.810	p[1266].vz: 69.812

p[1267].x: -5.993	p[1267].y: -3.378	p[1267].z: -0.554
p[1267].vx: -83.037	p[1267].vy: -46.342	p[1267].vz: -6.421

p[1268].x: 3.272	p[1268].y: -3.512	p[1268].z: 1.025
p[1268].vx: 44.774	p[1268].vy: -53.284	p[1268].vz: 15.730

p[1269].x: 1.460	p[1269].y: -1.161	p[1269].z: 0.476
p[1269].vx: 17.348	p[1269].vy: -15.029	p[1269].vz: 6.904

p[1270].x: 1.870	p[1270].y: 1.380	p[1270].z: 3.952
p[1270].vx: 26.144	p[1270].vy: 6.502	p[1270].vz: 47.467

p[1271].x: 4.976	p[1271].y: 0.518	p[1271].z: 1.072
p[1271].vx: 56.280	p[1271].vy: 13.528	p[1271].vz: 11.363

p[1272].x: 0.767	p[1272].y: -5.648	p[1272].z: -7.438
p[1272].vx: 10.451	p[1272].vy: -80.280	p[1272].vz: -106.441

p[1273].x: -2.615	p[1273].y: 2.733	p[1273].z: -0.794
p[1273].vx: -43.205	p[1273].vy: 45.672	p[1273].vz: -13.056

p[1274].x: -0.609	p[1274].y: 0.549	p[1274].z: 1.747
p[1274].vx: -7.671	p[1274].vy: 6.416	p[1274].vz: 19.930

p[1275].x: 4.153	p[1275].y: -3.852	p[1275].z: -6.040
p[1275].vx: 60.083	p[1275].vy: -55.419	p[1275].vz: -87.136

p[1276].x: -0.820	p[1276].y: 8.811	p[1276].z: 1.131
p[1276].vx: -10.716	p[1276].vy: 125.001	p[1276].vz: 17.148

p[1277].x: 4.041	p[1277].y: 9.162	p[1277].z: 1.513
p[1277].vx: 58.383	p[1277].vy: 130.005	p[1277].vz: 20.489

p[1278].x: 2.086	p[1278].y: 2.113	p[1278].z: -2.327
p[1278].vx: 34.468	p[1278].vy: 32.611	p[1278].vz: -39.659

p[1279].x: -1.804	p[1279].y: -16.403	p[1279].z: 8.445
p[1279].vx: -21.972	p[1279].vy: -238.410	p[1279].vz: 115.917

p[1280].x: 0.179	p[1280].y: 5.682	p[1280].z: 3.365
p[1280].vx: 3.370	p[1280].vy: 79.718	p[1280].vz: 46.369

p[1281].x: -1.889	p[1281].y: 2.148	p[1281].z: -2.662
p[1281].vx: -28.038	p[1281].vy: 34.603	p[1281].vz: -44.547

p[1282].x: -6.513	p[1282].y: -1.152	p[1282].z: -5.735
p[1282].vx: -91.746	p[1282].vy: -16.759	p[1282].vz: -83.001

p[1283].x: -2.016	p[1283].y: -3.413	p[1283].z: -2.626
p[1283].vx: -35.451	p[1283].vy: -58.948	p[1283].vz: -43.551

p[1284].x: 5.738	p[1284].y: -4.192	p[1284].z: -4.896
p[1284].vx: 82.019	p[1284].vy: -61.881	p[1284].vz: -71.299

p[1285].x: 4.502	p[1285].y: -4.633	p[1285].z: -0.377
p[1285].vx: 64.477	p[1285].vy: -70.063	p[1285].vz: -6.164

p[1286].x: -0.663	p[1286].y: 6.913	p[1286].z: 0.699
p[1286].vx: -7.429	p[1286].vy: 97.878	p[1286].vz: 9.050

p[1287].x: 1.907	p[1287].y: 2.488	p[1287].z: 1.383
p[1287].vx: 30.949	p[1287].vy: 47.548	p[1287].vz: 23.905

p[1288].x: 1.465	p[1288].y: 9.820	p[1288].z: -5.475
p[1288].vx: 22.094	p[1288].vy: 140.192	p[1288].vz: -78.730

p[1289].x: 1.414	p[1289].y: 3.928	p[1289].z: 4.389
p[1289].vx: 20.678	p[1289].vy: 54.929	p[1289].vz: 61.707

p[1290].x: -6.269	p[1290].y: -10.687	p[1290].z: 0.708
p[1290].vx: -88.672	p[1290].vy: -152.169	p[1290].vz: 11.518

p[1291].x: -4.470	p[1291].y: -0.834	p[1291].z: -3.547
p[1291].vx: -41.304	p[1291].vy: -20.878	p[1291].vz: -35.561

p[1292].x: 3.219	p[1292].y: -7.002	p[1292].z: -5.233
p[1292].vx: 44.565	p[1292].vy: -99.154	p[1292].vz: -75.580

p[1293].x: -13.304	p[1293].y: -12.667	p[1293].z: 1.138
p[1293].vx: -147.822	p[1293].vy: -145.995	p[1293].vz: 3.342

p[1294].x: 1.017	p[1294].y: -2.435	p[1294].z: -0.958
p[1294].vx: 15.718	p[1294].vy: -38.206	p[1294].vz: -13.628

p[1295].x: -2.981	p[1295].y: -2.191	p[1295].z: -2.006
p[1295].vx: -45.388	p[1295].vy: -34.343	p[1295].vz: -37.487

p[1296].x: 5.176	p[1296].y: 1.576	p[1296].z: -1.069
p[1296].vx: 74.467	p[1296].vy: 23.992	p[1296].vz: -12.370

p[1297].x: 2.419	p[1297].y: 4.963	p[1297].z: 2.872
p[1297].vx: 35.883	p[1297].vy: 72.108	p[1297].vz: 40.172

p[1298].x: -2.250	p[1298].y: 4.841	p[1298].z: -0.047
p[1298].vx: -32.045	p[1298].vy: 69.219	p[1298].vz: -2.816

p[1299].x: 1.625	p[1299].y: -8.327	p[1299].z: 6.011
p[1299].vx: 22.627	p[1299].vy: -118.687	p[1299].vz: 86.107

p[1300].x: 3.139	p[1300].y: 1.626	p[1300].z: -6.149
p[1300].vx: 45.807	p[1300].vy: 23.008	p[1300].vz: -88.952

p[1301].x: -2.119	p[1301].y: -2.171	p[1301].z: 1.844
p[1301].vx: -33.716	p[1301].vy: -28.190	p[1301].vz: 31.472

p[1302].x: 0.257	p[1302].y: 1.047	p[1302].z: -0.742
p[1302].vx: 20.310	p[1302].vy: 24.864	p[1302].vz: -9.187

p[1303].x: -13.050	p[1303].y: -32.584	p[1303].z: 19.723
p[1303].vx: -150.787	p[1303].vy: -361.982	p[1303].vz: 213.727

p[1304].x: -2.722	p[1304].y: 5.691	p[1304].z: -2.970
p[1304].vx: -29.356	p[1304].vy: 47.417	p[1304].vz: -29.982

p[1305].x: -4.171	p[1305].y: 2.104	p[1305].z: 6.986
p[1305].vx: -58.826	p[1305].vy: 29.919	p[1305].vz: 98.668

p[1306].x: 0.060	p[1306].y: 7.097	p[1306].z: 3.183
p[1306].vx: 1.031	p[1306].vy: 101.511	p[1306].vz: 44.269

p[1307].x: -2.341	p[1307].y: -2.210	p[1307].z: -1.898
p[1307].vx: -33.651	p[1307].vy: -32.592	p[1307].vz: -30.086

p[1308].x: 2.194	p[1308].y: -2.795	p[1308].z: 1.353
p[1308].vx: 34.692	p[1308].vy: -47.996	p[1308].vz: 22.647

p[1309].x: 1.770	p[1309].y: -5.790	p[1309].z: 7.597
p[1309].vx: 26.198	p[1309].vy: -82.551	p[1309].vz: 107.819

p[1310].x: 1.353	p[1310].y: -0.787	p[1310].z: 2.300
p[1310].vx: 13.559	p[1310].vy: -10.168	p[1310].vz: 38.976

p[1311].x: -1.076	p[1311].y: -3.014	p[1311].z: -2.740
p[1311].vx: -14.878	p[1311].vy: -46.890	p[1311].vz: -36.151

p[1312].x: 0.008	p[1312].y: 1.362	p[1312].z: 5.008
p[1312].vx: 0.255	p[1312].vy: 18.933	p[1312].vz: 68.212

p[1313].x: 5.037	p[1313].y: 4.361	p[1313].z: 0.420
p[1313].vx: 73.552	p[1313].vy: 61.802	p[1313].vz: 6.471

p[1314].x: -5.577	p[1314].y: -0.397	p[1314].z: 4.916
p[1314].vx: -78.343	p[1314].vy: -5.646	p[1314].vz: 69.482

p[1315].x: -0.166	p[1315].y: 2.856	p[1315].z: 2.485
p[1315].vx: -0.090	p[1315].vy: 38.385	p[1315].vz: 35.687

p[1316].x: -1.500	p[1316].y: 0.474	p[1316].z: -1.984
p[1316].vx: -20.533	p[1316].vy: 6.594	p[1316].vz: -24.288

p[1317].x: 1.268	p[1317].y: 1.358	p[1317].z: -9.464
p[1317].vx: 18.916	p[1317].vy: 18.120	p[1317].vz: -156.856

p[1318].x: -5.732	p[1318].y: -0.384	p[1318].z: -4.773
p[1318].vx: -82.640	p[1318].vy: -6.145	p[1318].vz: -69.358

p[1319].x: -9.414	p[1319].y: 1.362	p[1319].z: -8.589
p[1319].vx: -135.943	p[1319].vy: 19.778	p[1319].vz: -124.513

p[1320].x: -3.261	p[1320].y: 4.125	p[1320].z: -3.441
p[1320].vx: -47.108	p[1320].vy: 61.217	p[1320].vz: -48.193

p[1321].x: 3.957	p[1321].y: 4.210	p[1321].z: 2.732
p[1321].vx: 56.343	p[1321].vy: 62.679	p[1321].vz: 38.903

p[1322].x: -8.960	p[1322].y: -23.071	p[1322].z: -10.147
p[1322].vx: -118.584	p[1322].vy: -286.265	p[1322].vz: -124.468

p[1323].x: -1.892	p[1323].y: -2.311	p[1323].z: 2.711
p[1323].vx: -29.146	p[1323].vy: -31.171	p[1323].vz: 38.556

p[1324].x: 4.058	p[1324].y: -0.385	p[1324].z: -0.614
p[1324].vx: 55.978	p[1324].vy: -4.495	p[1324].vz: -8.993

p[1325].x: -0.446	p[1325].y: 3.632	p[1325].z: 6.236
p[1325].vx: -5.834	p[1325].vy: 51.658	p[1325].vz: 90.417

p[1326].x: -2.170	p[1326].y: -2.892	p[1326].z: 11.329
p[1326].vx: -32.290	p[1326].vy: -38.545	p[1326].vz: 163.572

p[1327].x: -3.603	p[1327].y: -6.561	p[1327].z: -5.658
p[1327].vx: -51.548	p[1327].vy: -94.085	p[1327].vz: -81.063

p[1328].x: -2.798	p[1328].y: 1.048	p[1328].z: -5.264
p[1328].vx: -37.472	p[1328].vy: 14.454	p[1328].vz: -73.646

p[1329].x: -3.093	p[1329].y: 1.771	p[1329].z: 2.550
p[1329].vx: -53.582	p[1329].vy: 28.443	p[1329].vz: 41.480

p[1330].x: -4.119	p[1330].y: -8.376	p[1330].z: 2.001
p[1330].vx: -57.605	p[1330].vy: -118.864	p[1330].vz: 29.801

p[1331].x: -0.063	p[1331].y: 2.047	p[1331].z: 1.173
p[1331].vx: -13.639	p[1331].vy: 27.857	p[1331].vz: 23.780

p[1332].x: 5.795	p[1332].y: -6.026	p[1332].z: -0.050
p[1332].vx: 81.385	p[1332].vy: -82.920	p[1332].vz: -1.297

p[1333].x: -0.459	p[1333].y: -5.128	p[1333].z: 2.107
p[1333].vx: 3.693	p[1333].vy: -56.825	p[1333].vz: 21.842

p[1334].x: 3.973	p[1334].y: -1.550	p[1334].z: -0.238
p[1334].vx: 55.614	p[1334].vy: -15.118	p[1334].vz: -7.879

p[1335].x: 8.351	p[1335].y: -11.274	p[1335].z: -14.342
p[1335].vx: 120.416	p[1335].vy: -161.432	p[1335].vz: -205.876

p[1336].x: -2.519	p[1336].y: 0.010	p[1336].z: 5.033
p[1336].vx: -35.315	p[1336].vy: 0.919	p[1336].vz: 68.933

p[1337].x: -0.825	p[1337].y: 2.893	p[1337].z: 0.069
p[1337].vx: -19.674	p[1337].vy: 47.548	p[1337].vz: 3.460

p[1338].x: 1.923	p[1338].y: 2.739	p[1338].z: 3.274
p[1338].vx: 27.059	p[1338].vy: 37.957	p[1338].vz: 49.327

p[1339].x: -3.146	p[1339].y: 2.004	p[1339].z: -2.275
p[1339].vx: -49.410	p[1339].vy: 34.382	p[1339].vz: -36.819

p[1340].x: 3.358	p[1340].y: -3.478	p[1340].z: 10.510
p[1340].vx: 48.955	p[1340].vy: -50.054	p[1340].vz: 149.450

p[1341].x: -4.408	p[1341].y: -4.845	p[1341].z: -0.129
p[1341].vx: -63.275	p[1341].vy: -71.360	p[1341].vz: -1.325

p[1342].x: -1.434	p[1342].y: 2.867	p[1342].z: 3.535
p[1342].vx: -21.615	p[1342].vy: 41.103	p[1342].vz: 53.052

p[1343].x: -7.206	p[1343].y: 2.578	p[1343].z: -4.331
p[1343].vx: -101.531	p[1343].vy: 36.546	p[1343].vz: -62.119

p[1344].x: 1.060	p[1344].y: -5.341	p[1344].z: -4.568
p[1344].vx: 16.503	p[1344].vy: -75.891	p[1344].vz: -66.338

p[1345].x: -1.188	p[1345].y: -2.063	p[1345].z: -5.216
p[1345].vx: -16.259	p[1345].vy: -29.983	p[1345].vz: -74.022

p[1346].x: -3.645	p[1346].y: -0.112	p[1346].z: 4.257
p[1346].vx: -52.901	p[1346].vy: -2.292	p[1346].vz: 62.927

p[1347].x: 5.356	p[1347].y: 4.796	p[1347].z: -1.055
p[1347].vx: 75.690	p[1347].vy: 67.227	p[1347].vz: -15.519

p[1348].x: 2.348	p[1348].y: 1.464	p[1348].z: 2.151
p[1348].vx: 34.939	p[1348].vy: 23.742	p[1348].vz: 31.927

p[1349].x: 13.207	p[1349].y: 11.900	p[1349].z: -5.122
p[1349].vx: 144.796	p[1349].vy: 125.252	p[1349].vz: -65.662

p[1350].x: 0.375	p[1350].y: -4.009	p[1350].z: -5.117
p[1350].vx: 6.042	p[1350].vy: -56.952	p[1350].vz: -74.909

p[1351].x: 3.414	p[1351].y: -6.715	p[1351].z: -1.345
p[1351].vx: 48.006	p[1351].vy: -94.420	p[1351].vz: -19.247

p[1352].x: -4.419	p[1352].y: 4.567	p[1352].z: -8.165
p[1352].vx: -62.954	p[1352].vy: 65.651	p[1352].vz: -117.789

p[1353].x: 4.571	p[1353].y: -4.364	p[1353].z: 2.103
p[1353].vx: 64.022	p[1353].vy: -61.022	p[1353].vz: 29.917

p[1354].x: 6.220	p[1354].y: 6.160	p[1354].z: -2.925
p[1354].vx: 89.765	p[1354].vy: 87.535	p[1354].vz: -42.063

p[1355].x: 1.253	p[1355].y: -3.292	p[1355].z: -8.426
p[1355].vx: 17.436	p[1355].vy: -46.410	p[1355].vz: -119.658

p[1356].x: -0.005	p[1356].y: -0.306	p[1356].z: 2.321
p[1356].vx: 4.400	p[1356].vy: -9.793	p[1356].vz: 18.275

p[1357].x: -2.594	p[1357].y: -3.813	p[1357].z: -8.998
p[1357].vx: -36.917	p[1357].vy: -54.264	p[1357].vz: -128.730

p[1358].x: 0.360	p[1358].y: -0.369	p[1358].z: -0.438
p[1358].vx: 5.849	p[1358].vy: -2.316	p[1358].vz: -8.320

p[1359].x: -0.465	p[1359].y: -3.241	p[1359].z: 3.323
p[1359].vx: -9.689	p[1359].vy: -45.517	p[1359].vz: 52.806

p[1360].x: 4.015	p[1360].y: 3.414	p[1360].z: 2.325
p[1360].vx: 53.872	p[1360].vy: 49.459	p[1360].vz: 34.114

p[1361].x: 1.462	p[1361].y: 2.941	p[1361].z: 2.646
p[1361].vx: 22.657	p[1361].vy: 41.751	p[1361].vz: 39.331

p[1362].x: -4.945	p[1362].y: -4.703	p[1362].z: 1.412
p[1362].vx: -71.598	p[1362].vy: -66.205	p[1362].vz: 20.806

p[1363].x: 2.742	p[1363].y: 7.023	p[1363].z: 7.518
p[1363].vx: 39.203	p[1363].vy: 100.991	p[1363].vz: 108.084

p[1364].x: -3.394	p[1364].y: 1.289	p[1364].z: -2.788
p[1364].vx: -51.094	p[1364].vy: 21.215	p[1364].vz: -40.058

p[1365].x: -9.684	p[1365].y: -2.901	p[1365].z: -2.854
p[1365].vx: -136.271	p[1365].vy: -40.876	p[1365].vz: -41.782

p[1366].x: 1.847	p[1366].y: -8.420	p[1366].z: -35.494
p[1366].vx: 24.077	p[1366].vy: -99.825	p[1366].vz: -393.515

p[1367].x: 5.708	p[1367].y: -2.334	p[1367].z: 0.102
p[1367].vx: 79.146	p[1367].vy: -32.641	p[1367].vz: 1.015

p[1368].x: 3.039	p[1368].y: 0.199	p[1368].z: 1.184
p[1368].vx: 43.387	p[1368].vy: 3.740	p[1368].vz: 21.384

p[1369].x: -1.404	p[1369].y: 3.504	p[1369].z: -4.614
p[1369].vx: -18.967	p[1369].vy: 48.978	p[1369].vz: -63.564

p[1370].x: -4.244	p[1370].y: 5.656	p[1370].z: 4.188
p[1370].vx: -61.672	p[1370].vy: 80.726	p[1370].vz: 60.184

p[1371].x: -8.352	p[1371].y: 11.752	p[1371].z: -1.423
p[1371].vx: -118.433	p[1371].vy: 169.926	p[1371].vz: -21.975

p[1372].x: -4.710	p[1372].y: 4.380	p[1372].z: 4.439
p[1372].vx: -68.422	p[1372].vy: 63.181	p[1372].vz: 65.686

p[1373].x: -8.331	p[1373].y: -3.826	p[1373].z: -5.196
p[1373].vx: -117.521	p[1373].vy: -54.203	p[1373].vz: -74.881

p[1374].x: -0.623	p[1374].y: -2.115	p[1374].z: 0.139
p[1374].vx: 8.899	p[1374].vy: -19.941	p[1374].vz: -0.759

p[1375].x: 1.186	p[1375].y: -9.218	p[1375].z: -0.907
p[1375].vx: 17.499	p[1375].vy: -129.728	p[1375].vz: -14.546

p[1376].x: 8.069	p[1376].y: -6.400	p[1376].z: -0.181
p[1376].vx: 83.102	p[1376].vy: -60.248	p[1376].vz: 1.341

p[1377].x: -1.199	p[1377].y: 1.908	p[1377].z: 2.309
p[1377].vx: -16.817	p[1377].vy: 26.626	p[1377].vz: 29.645

p[1378].x: 1.436	p[1378].y: -1.327	p[1378].z: -0.442
p[1378].vx: 34.561	p[1378].vy: -15.146	p[1378].vz: -3.015

p[1379].x: 5.654	p[1379].y: -1.104	p[1379].z: 4.641
p[1379].vx: 78.303	p[1379].vy: -14.414	p[1379].vz: 65.468

p[1380].x: -1.175	p[1380].y: -6.266	p[1380].z: 4.843
p[1380].vx: -15.590	p[1380].vy: -89.020	p[1380].vz: 70.523

p[1381].x: 3.220	p[1381].y: -7.044	p[1381].z: -5.318
p[1381].vx: 48.961	p[1381].vy: -100.126	p[1381].vz: -77.386

p[1382].x: -3.882	p[1382].y: -3.885	p[1382].z: -1.727
p[1382].vx: -56.394	p[1382].vy: -55.630	p[1382].vz: -24.263

p[1383].x: 2.480	p[1383].y: -1.912	p[1383].z: 3.063
p[1383].vx: 37.734	p[1383].vy: -33.963	p[1383].vz: 50.968

p[1384].x: 3.184	p[1384].y: -3.489	p[1384].z: -3.218
p[1384].vx: 46.391	p[1384].vy: -52.532	p[1384].vz: -46.390

p[1385].x: 2.894	p[1385].y: -3.243	p[1385].z: 1.534
p[1385].vx: 41.312	p[1385].vy: -46.905	p[1385].vz: 23.049

p[1386].x: -2.058	p[1386].y: 2.340	p[1386].z: 2.779
p[1386].vx: -28.949	p[1386].vy: 29.431	p[1386].vz: 39.649

p[1387].x: 6.379	p[1387].y: -0.973	p[1387].z: 0.173
p[1387].vx: 89.967	p[1387].vy: -12.987	p[1387].vz: 2.821

p[1388].x: 1.664	p[1388].y: -7.271	p[1388].z: -2.599
p[1388].vx: 22.965	p[1388].vy: -102.248	p[1388].vz: -38.692

p[1389].x: -7.488	p[1389].y: -0.247	p[1389].z: -1.316
p[1389].vx: -105.268	p[1389].vy: -3.763	p[1389].vz: -21.042

p[1390].x: 3.655	p[1390].y: -0.104	p[1390].z: -3.016
p[1390].vx: 55.709	p[1390].vy: 1.727	p[1390].vz: -40.446

p[1391].x: 2.097	p[1391].y: 5.940	p[1391].z: -5.140
p[1391].vx: 30.996	p[1391].vy: 84.982	p[1391].vz: -73.608

p[1392].x: -2.893	p[1392].y: -2.551	p[1392].z: 4.649
p[1392].vx: -40.459	p[1392].vy: -35.485	p[1392].vz: 68.248

p[1393].x: -0.119	p[1393].y: 2.861	p[1393].z: -0.639
p[1393].vx: -7.221	p[1393].vy: 38.556	p[1393].vz: -11.008

p[1394].x: -2.948	p[1394].y: 3.719	p[1394].z: -3.833
p[1394].vx: -39.529	p[1394].vy: 50.857	p[1394].vz: -56.855

p[1395].x: -2.271	p[1395].y: 0.966	p[1395].z: 0.668
p[1395].vx: -41.770	p[1395].vy: 14.176	p[1395].vz: 12.269

p[1396].x: 4.023	p[1396].y: 4.102	p[1396].z: 2.264
p[1396].vx: 62.767	p[1396].vy: 61.913	p[1396].vz: 33.865

p[1397].x: 1.549	p[1397].y: -2.025	p[1397].z: -0.584
p[1397].vx: 29.526	p[1397].vy: -38.608	p[1397].vz: -20.634

p[1398].x: 3.684	p[1398].y: -5.506	p[1398].z: -0.570
p[1398].vx: 54.317	p[1398].vy: -79.071	p[1398].vz: -10.584

p[1399].x: -1.249	p[1399].y: 0.183	p[1399].z: 2.204
p[1399].vx: -18.596	p[1399].vy: 0.529	p[1399].vz: 33.702

p[1400].x: 7.365	p[1400].y: 1.264	p[1400].z: -2.441
p[1400].vx: 106.079	p[1400].vy: 18.883	p[1400].vz: -34.570

p[1401].x: 7.020	p[1401].y: 5.403	p[1401].z: -4.893
p[1401].vx: 100.888	p[1401].vy: 77.365	p[1401].vz: -70.488

p[1402].x: -0.350	p[1402].y: -5.433	p[1402].z: -2.735
p[1402].vx: -5.623	p[1402].vy: -78.948	p[1402].vz: -38.033

p[1403].x: -6.210	p[1403].y: 6.376	p[1403].z: -2.101
p[1403].vx: -88.786	p[1403].vy: 90.325	p[1403].vz: -29.849

p[1404].x: 5.104	p[1404].y: -0.152	p[1404].z: 4.059
p[1404].vx: 71.167	p[1404].vy: -1.704	p[1404].vz: 58.142

p[1405].x: 4.024	p[1405].y: 4.745	p[1405].z: 0.301
p[1405].vx: 59.870	p[1405].vy: 69.335	p[1405].vz: 5.911

p[1406].x: -4.700	p[1406].y: 5.898	p[1406].z: -1.071
p[1406].vx: -66.637	p[1406].vy: 82.947	p[1406].vz: -14.268

p[1407].x: 0.735	p[1407].y: -2.135	p[1407].z: 6.563
p[1407].vx: 8.359	p[1407].vy: -30.409	p[1407].vz: 93.441

p[1408].x: 2.750	p[1408].y: 3.358	p[1408].z: 6.631
p[1408].vx: 41.226	p[1408].vy: 48.850	p[1408].vz: 95.749

p[1409].x: -0.718	p[1409].y: -7.832	p[1409].z: 3.880
p[1409].vx: -9.749	p[1409].vy: -110.577	p[1409].vz: 54.925

p[1410].x: 3.853	p[1410].y: 0.209	p[1410].z: 4.641
p[1410].vx: 57.145	p[1410].vy: 3.531	p[1410].vz: 68.462

p[1411].x: -2.372	p[1411].y: -2.443	p[1411].z: 2.101
p[1411].vx: -34.393	p[1411].vy: -33.568	p[1411].vz: 31.072

p[1412].x: 6.044	p[1412].y: -5.413	p[1412].z: 2.836
p[1412].vx: 84.735	p[1412].vy: -76.444	p[1412].vz: 40.644

p[1413].x: -0.250	p[1413].y: 9.038	p[1413].z: 4.372
p[1413].vx: -2.831	p[1413].vy: 128.946	p[1413].vz: 63.969

p[1414].x: -5.952	p[1414].y: 6.621	p[1414].z: -5.543
p[1414].vx: -84.331	p[1414].vy: 94.209	p[1414].vz: -79.668

p[1415].x: -5.512	p[1415].y: -1.418	p[1415].z: 1.775
p[1415].vx: -75.951	p[1415].vy: -20.275	p[1415].vz: 25.674

p[1416].x: -5.684	p[1416].y: -5.505	p[1416].z: -1.114
p[1416].vx: -81.586	p[1416].vy: -79.262	p[1416].vz: -16.695

p[1417].x: 1.511	p[1417].y: 1.470	p[1417].z: -6.330
p[1417].vx: 20.845	p[1417].vy: 21.686	p[1417].vz: -88.880

p[1418].x: 0.452	p[1418].y: 5.003	p[1418].z: -3.072
p[1418].vx: 7.349	p[1418].vy: 67.978	p[1418].vz: -44.270

p[1419].x: -4.633	p[1419].y: -4.273	p[1419].z: 0.926
p[1419].vx: -63.064	p[1419].vy: -59.602	p[1419].vz: 11.722

p[1420].x: -2.217	p[1420].y: 3.086	p[1420].z: 2.267
p[1420].vx: -33.306	p[1420].vy: 44.748	p[1420].vz: 34.324

p[1421].x: 3.310	p[1421].y: -2.032	p[1421].z: 2.118
p[1421].vx: 60.268	p[1421].vy: -35.426	p[1421].vz: 34.010

p[1422].x: 1.081	p[1422].y: 3.364	p[1422].z: 3.742
p[1422].vx: 17.869	p[1422].vy: 49.912	p[1422].vz: 53.893

p[1423].x: 3.446	p[1423].y: 1.585	p[1423].z: 5.759
p[1423].vx: 48.315	p[1423].vy: 21.588	p[1423].vz: 78.666

p[1424].x: -0.516	p[1424].y: 4.738	p[1424].z: -5.455
p[1424].vx: -6.434	p[1424].vy: 67.308	p[1424].vz: -79.516

p[1425].x: 4.369	p[1425].y: 9.956	p[1425].z: -4.446
